QUERY_DATE,NEW_MISSING,NEW_TOTAL,PREVIOUS_TOTAL,RESOLVED,MARSHA_TOTAL,PREV_MARSHA_TOTAL,TOTAL_OPEN,MB_PROCESSED,MB_FAILED,DATA_DATE
2021-05-19,19,1654,1671,36,1035,1061, 1924,32751,8,2021-05-18
2021-05-20,22,1627,1654,49,1027,1035, 1924,33762,6,2021-05-19
2021-05-21,25,1445,1627,207,984,1027, 1924,41578,4,2021-05-20
2021-05-22,25,1456,1445,14,980,984, 1917,44727,21,2021-05-21
2021-05-23,27,1482,1456,1,983,980, 1922,52995,12,2021-05-22
2021-05-24,26,1503,1482,5,984,983, 1934,42104,4,2021-05-23
2021-05-25,24,1518,1503,9,985,984, 1936,47705,20,2021-05-24
2021-05-26,248,1722,1518,44,1089,985, 1934,33195,5,2021-05-25
2021-05-27,25,1698,1722,49,1083,1089, 1933,33036,2,2021-05-26
2021-05-28,29,1691,1698,36,1073,1083, 1932,39149,3,2021-05-27
2021-05-29,86,1752,1691,25,1094,1073, 1930,44206,5,2021-05-28
2021-05-30,30,1732,1752,50,1070,1094, 1927,51979,4,2021-05-29
2021-05-31,32,1751,1732,13,1062,1070, 1937,42266,66,2021-05-30
2021-06-01,31,1757,1751,25,1053,1062, 1940,55954,37,2021-05-31
2021-06-02,35,1750,1757,42,1033,1053, 1942,41625,13,2021-06-01
2021-06-03,28,1746,1750,32,1020,1033, 1940,32903,17,2021-06-02
2021-06-04,36,1754,1746,28,1005,1020, 1954,35359,4,2021-06-03
2021-06-05,39,1714,1754,79,991,1005, 1960,39646,11,2021-06-04
2021-06-06,34,1738,1714,10,991,991, 1958,49401,38,2021-06-05
2021-06-07,39,1767,1738,10,990,991, 1959,41450,10,2021-06-06
2021-06-08,37,1768,1767,36,976,990, 1964,55807,25,2021-06-07
